wave_no,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15
3996.73391,0.00102,0.00077,0.00113,0.00106,0.00035,0.0007,0.00054,0.00025,0.0012,0.00052,0.00057,0.00067,0.00082,0.00011,0.00116
3994.67373,0.00087,0.00073,0.00104,0.00093,0.00034,0.00055,0.00062,0.00025,0.00116,0.00036,0.00083,0.00046,0.00066,0.00023,0.00096
3992.61356,0.00065,0.0006,0.00091,0.00075,0.00031,0.0004,0.00066,0.00023,0.00108,0.00018,0.00096,0.00026,0.0005,0.00026,0.00084
3990.55339,0.00037,0.00039,0.00071,0.00052,0.00025,0.00029,0.00058,0.00022,0.00095,8e-05,0.00092,9e-05,0.00038,0.00019,0.00083
3988.49322,0.00013,0.0002,0.00047,0.00027,0.0002,0.00023,0.00038,0.00027,0.00082,0.00018,0.00076,0.0,0.00037,0.0001,0.00086
3986.43305,0.0,0.00014,0.00025,7e-05,0.00023,0.00013,0.00013,0.0003,0.00074,0.00044,0.00061,0.0,0.00045,0.0001,0.00076
3984.37287,0.0,0.00019,0.0001,0.0,0.00036,1e-05,0.0,0.00025,0.00074,0.00069,0.00051,8e-05,0.00051,0.00022,0.00051
3982.3127,9e-05,0.00026,1e-05,0.0001,0.0005,0.0,7e-05,0.00014,0.00079,0.00075,0.00048,0.0002,0.00047,0.00039,0.00024
3980.25253,0.0002,0.00024,0.0,0.0003,0.00055,0.00017,0.00028,5e-05,0.00082,0.00063,0.00048,0.00028,0.00036,0.00044,6e-05
3978.19236,0.00025,0.00015,8e-05,0.00048,0.00046,0.00042,0.00048,0.0,0.00073,0.00041,0.00045,0.00027,0.00022,0.00029,0.0
3976.13219,0.00024,5e-05,0.00023,0.00053,0.00027,0.00059,0.00059,1e-05,0.00048,0.00021,0.00038,0.0002,8e-05,8e-05,9e-05
3974.07201,0.0002,0.0,0.0004,0.00043,0.0001,0.00064,0.00065,0.00011,0.0002,7e-05,0.00026,0.00017,0.0,0.0,0.00032
3972.01184,0.00023,3e-05,0.00054,0.00027,4e-05,0.00057,0.00075,0.00025,2e-05,0.0,0.00011,0.00021,0.0,0.00011,0.00062
3969.95167,0.00033,0.00013,0.00063,0.00017,6e-05,0.00047,0.0009,0.0003,0.0,2e-05,0.0,0.00027,6e-05,0.0003,0.00089
3967.8915,0.00041,0.00024,0.00067,0.00021,6e-05,0.00038,0.00101,0.00025,0.00012,0.00013,2e-05,0.0003,0.00016,0.00039,0.00106
3965.83133,0.00044,0.00025,0.00071,0.00035,2e-05,0.00035,0.00101,0.0002,0.00028,0.00029,0.00018,0.00028,0.00031,0.00033,0.00112
3963.77115,0.00046,0.0002,0.0008,0.00054,0.0,0.00041,0.001,0.00028,0.00043,0.00043,0.00044,0.00021,0.00049,0.00027,0.00114
3961.71098,0.00052,0.00023,0.00094,0.00074,8e-05,0.0006,0.00105,0.00049,0.00054,0.00054,0.00072,0.00014,0.00064,0.00035,0.00123
3959.65081,0.00063,0.00043,0.00107,0.00092,0.00024,0.00087,0.00113,0.00076,0.00059,0.00061,0.00098,0.00015,0.00069,0.00053,0.00137
3957.59064,0.00072,0.00073,0.00115,0.00104,0.00042,0.00112,0.00117,0.00102,0.00059,0.00064,0.00121,0.00027,0.00071,0.00067,0.00143
3955.53046,0.00079,0.00098,0.00122,0.0011,0.00057,0.00122,0.00115,0.0012,0.00057,0.00063,0.00139,0.00049,0.00078,0.0007,0.00134
3953.47029,0.00083,0.00109,0.00127,0.00114,0.00065,0.00118,0.00106,0.00122,0.00062,0.00063,0.0015,0.00076,0.00088,0.00066,0.00117
3951.41012,0.00091,0.00113,0.00127,0.00123,0.00073,0.00104,0.00101,0.0011,0.00077,0.00066,0.00151,0.00108,0.00095,0.00064,0.00104
3949.34995,0.00103,0.00123,0.00124,0.0014,0.0009,0.00093,0.00107,0.00094,0.00104,0.00073,0.00146,0.00142,0.00102,0.00068,0.00104
