wavenumber,2.5kGy_sn48_sample1,2.5kGy_sn48_sample2,2.5kGy_sn48_sample3,2.5kGy_sn48_sample4,2.5kGy_sn48_sample5,2.5kGy_sn48_sample6,2.5kGy_sn48_sample7,2.5kGy_sn48_sample8,2.5kGy_sn48_sample9
3996.73391,-0.00035,0.00047,0.0012,0.00049,0.02799,0.00029,-0.00021,0.02591,0.00022
3994.67373,-0.0002,0.00036,0.00121,0.0002,0.02793,0.00053,-0.00018,0.02557,0.0
3992.61356,-0.00014,0.00011,0.00113,0.0,0.02781,0.00029,-0.00013,0.02572,0.0002
3990.55339,-0.00014,-3e-05,0.00077,0.00012,0.02769,-0.00012,-0.0,0.02608,0.00043
3988.49322,-0.00031,7e-05,0.00039,0.00042,0.02783,-0.00025,0.00016,0.02603,0.0004
3986.43305,-0.00044,0.00011,0.00035,0.00062,0.02804,-0.00011,0.00029,0.02569,0.00029
3984.37287,-0.00041,-3e-05,0.00054,0.00068,0.02803,0.0002,0.00027,0.02551,0.00034
3982.3127,-0.00035,-0.00019,0.00062,0.00056,0.02802,0.00067,6e-05,0.0255,0.00061
3980.25253,-0.00028,-0.00021,0.00041,0.00042,0.02813,0.001,-5e-05,0.02546,0.0008
3978.19236,-3e-05,-7e-05,4e-05,0.00053,0.02814,0.00098,0.00012,0.02546,0.00075
3976.13219,0.00024,-2e-05,0.0,0.00069,0.028,0.00076,0.0003,0.02558,0.00074
3974.07201,0.00036,-0.0001,0.00042,0.0005,0.02796,0.00057,0.00024,0.02573,0.0009
3972.01184,0.0004,-0.00016,0.00087,0.00019,0.028,0.00054,5e-05,0.02571,0.00112
3969.95167,0.00029,-0.00016,0.00112,0.00019,0.02789,0.00055,2e-05,0.02543,0.0012
3967.8915,5e-05,-7e-05,0.00124,0.00036,0.02769,0.00039,0.00016,0.02512,0.00103
3965.83133,4e-05,-4e-05,0.00129,0.00044,0.02759,0.0002,0.00028,0.0252,0.00071
3963.77115,0.00041,-0.00014,0.00127,0.00042,0.02764,0.00029,0.00026,0.02554,0.00044
3961.71098,0.0005,-7e-05,0.00121,0.00042,0.02777,0.00059,0.00013,0.02557,0.00036
3959.65081,0.00013,0.0002,0.00104,0.00036,0.02776,0.00075,2e-05,0.02539,0.00052
3957.59064,-5e-05,0.00034,0.00073,0.00021,0.02763,0.00076,0.0,0.02562,0.00075
3955.53046,0.0,0.00023,0.00056,0.00021,0.02756,0.00069,0.00014,0.0259,0.00086
3953.47029,0.0,-1e-05,0.00082,0.00038,0.02743,0.00049,0.00042,0.02572,0.00081
3951.41012,0.0001,0.0,0.00125,0.00048,0.02721,0.0002,0.00069,0.02545,0.00069
3949.34995,0.0003,0.00047,0.00133,0.00059,0.02713,0.0,0.00074,0.02543,0.00055
3947.28978,0.00021,0.00091,0.00102,0.0008,0.02736,4e-05,0.00055,0.02544,0.00039
3945.2296,0.00028,0.00075,0.00075,0.00087,0.02771,0.0003,0.00043,0.02562,0.00036
3943.16943,0.00085,0.0003,0.00075,0.00076,0.02789,0.0006,0.00058,0.02588,0.00064
3941.10926,0.00123,0.00018,0.00087,0.00065,0.0278,0.0008,0.00068,0.02564,0.00105
3939.04909,0.00139,0.00036,0.00083,0.00066,0.02771,0.00087,0.00044,0.02544,0.00111
3936.98892,0.00122,0.00047,0.00068,0.00072,0.02796,0.00091,0.00011,0.02558,0.00085
3934.92874,0.00087,0.00039,0.00066,0.00075,0.0284,0.00093,0.0,0.0259,0.00056
3932.86857,0.00076,0.00024,0.00084,0.00063,0.02854,0.00092,4e-05,0.02623,0.00043
3930.8084,0.00059,0.00014,0.00092,0.00038,0.02825,0.00087,6e-05,0.02594,0.00053
