protein_extract_scan48_sample1,protein_extract_scan48_sample2,protein_extract_scan48_sample3,protein_extract_scan48_sample4,protein_extract_scan48_sample5,protein_extract_scan48_sample6,protein_extract_scan48_sample7,protein_extract_scan48_sample8,protein_extract_scan48_sample9,protein_extract_scan48_sample10,protein_extract_scan48_sample11,protein_extract_scan48_sample12,protein_extract_scan48_sample13,protein_extract_scan48_sample14,protein_extract_scan48_sample15,protein_extract_scan48_sample16,protein_extract_scan48_sample17,protein_extract_scan48_sample18,protein_extract_scan48_sample19,protein_extract_scan48_sample20,protein_extract_scan48_sample21,protein_extract_scan48_sample22,protein_extract_scan48_sample23,protein_extract_scan48_sample24,protein_extract_scan48_sample25,protein_extract_scan48_sample26,protein_extract_scan48_sample27,protein_extract_scan48_sample28,protein_extract_scan48_sample29,protein_extract_scan48_sample30
0.0003275,0.00039499999999999995,0.00016749999999999998,4.25e-05,0.0003275,0.00023,3.25e-05,0.00027,0.0001575,0.00047750000000000006,0.00053,9e-05,0.0009699999999999999,0.0007725,0.0004975,0.00026250000000000004,0.0006625,0.000615,0.000285,0.0001825,5.75e-05,8.25e-05,0.00011500000000000002,-1.9999999999999998e-05,0.0001375,0.0002025,4.9999999999999996e-06,-3.25e-05,0.0001825,0.0001725
0.000305,0.00030000000000000003,0.00015000000000000001,0.00021,0.00056,0.00039,0.0001975,0.00021749999999999997,8.5e-05,0.00038,0.00030749999999999994,0.0,0.0006975,0.0006525,0.0003325,0.0002275,0.00066,0.0004875,0.00044,0.0003925,0.0002575,0.00030000000000000003,0.000295,0.00024,0.00013000000000000002,6.25e-05,1.4999999999999999e-05,-0.00017500000000000003,3.25e-05,-2.25e-05
0.0003225,0.00028250000000000004,0.00012749999999999998,0.0003,0.0007524999999999999,0.0004925,0.00033749999999999996,0.0001325,7.500000000000001e-05,0.00024,9.5e-05,-4.000000000000001e-05,0.000545,0.0005275,0.00020999999999999998,0.00030000000000000003,0.0007325000000000001,0.0005,0.0005250000000000001,0.0005974999999999999,0.00048249999999999996,0.000395,0.000355,0.0004275,2.7499999999999998e-05,0.0,2.9999999999999997e-05,7.500000000000001e-05,0.00017999999999999998,8.999999999999999e-05
0.0002975,0.0002075,7.5e-05,0.0002325,0.0006575,0.00043500000000000006,0.00031,9.249999999999999e-05,0.00021,8.25e-05,2.9999999999999997e-05,-9.999999999999999e-06,0.000595,0.00047249999999999994,0.0002275,0.00035000000000000005,0.0007700000000000001,0.000595,0.0004875,0.0006724999999999999,0.0006375,0.0002625,0.0002875,0.00035,8.25e-05,0.00016,0.0001375,0.0005225000000000001,0.000575,0.00047250000000000005
0.00027,9.25e-05,4.9999999999999996e-06,9.750000000000001e-05,0.00034500000000000004,0.0002525,0.0002825,0.00010749999999999998,0.000355,7.75e-05,0.0001725,0.0001125,0.0005825,0.00039749999999999996,0.000285,0.00035499999999999996,0.0006475000000000001,0.0005825,0.0003925,0.0005924999999999999,0.000625,0.0001575,0.000265,0.00019999999999999998,0.00019250000000000002,0.0002825,0.00026500000000000004,0.0006275,0.00086,0.0006425
0.00038,0.000105,7.5e-05,6.5e-05,0.000135,0.00011,0.00039,0.00021500000000000002,0.0004575,0.0002675,0.00034,0.0002075,0.0004225000000000001,0.000245,0.00028,0.0002975,0.0004225,0.0004375,0.00041999999999999996,0.0005675,0.00058,0.00033,0.0003775,0.000295,0.00017250000000000002,0.0002875,0.0003,0.0004225,0.0009,0.00054
0.0005775,0.00029,0.000265,0.0001225,0.00013,9.75e-05,0.0005425,0.000455,0.0006325,0.00038,0.00031999999999999997,0.00014000000000000001,0.0003625,0.0001375,0.000245,0.00024,0.0002875,0.000305,0.0006175,0.000765,0.0006925,0.000655,0.00057,0.0006075000000000001,0.000135,0.00033999999999999997,0.0002825,0.000345,0.0008575,0.0005200000000000001
0.000755,0.0005225,0.0004425,0.00022250000000000001,0.0002775,0.0001925,0.00062,0.0005825,0.0007575,0.00038250000000000003,0.0002725,0.00011000000000000003,0.0004225,0.00013000000000000002,0.00021750000000000003,0.0002275,0.0003175,0.00029,0.0007025,0.0008425,0.0007250000000000001,0.0006850000000000001,0.0006799999999999999,0.000755,0.00015250000000000002,0.00042,0.000205,0.0004,0.0007975,0.0005875
0.000735,0.0006225,0.00047499999999999994,0.000395,0.0005925,0.00039999999999999996,0.000595,0.00045250000000000005,0.0006675,0.00047999999999999996,0.00042999999999999994,0.0003275,0.00062,0.00028000000000000003,0.0002825,0.00026000000000000003,0.000445,0.0003375,0.0005525,0.0006375,0.00051,0.0003675,0.0006175,0.000595,0.00014,0.0003525,7.999999999999999e-05,0.0003625,0.00071,0.000565
0.0004175,0.00043499999999999995,0.0003125,0.0005875,0.0008975000000000001,0.0006725000000000001,0.0005600000000000001,0.000295,0.0005975,0.0006050000000000001,0.0006150000000000001,0.0005725,0.0008425,0.00055,0.00043750000000000006,0.00018,0.00046750000000000003,0.00030250000000000003,0.00044500000000000003,0.000465,0.0003075,0.000155,0.0005275,0.0004125,0.00015000000000000001,0.00022250000000000001,2.25e-05,0.00023750000000000003,0.00062,0.00047500000000000005
0.0001075,0.00016,0.0001425,0.000605,0.00094,0.0008575000000000001,0.000615,0.00021749999999999997,0.0006325,0.0005949999999999999,0.0006075,0.000555,0.0008324999999999999,0.000695,0.00052,2.25e-05,0.0003,0.0001825,0.00046249999999999997,0.000415,0.00021,0.0001425,0.00039999999999999996,0.00030500000000000004,0.00037,0.0003275,0.0002125,0.0001325,0.0005775,0.0004475000000000001
0.00023749999999999997,0.0001875,0.00021,0.00046,0.000835,0.00086,0.0006725,0.0001875,0.0006000000000000001,0.00048,0.0004625,0.0003725,0.0006525,0.000655,0.000515,4e-05,0.000135,0.000135,0.00046750000000000003,0.0003875,0.000165,0.00019,0.000175,0.0002575,0.0007275,0.0006125,0.0005825,0.00015000000000000001,0.00059,0.0005149999999999999
0.0006050000000000001,0.00045,0.00040249999999999997,0.0003225,0.00082,0.0007375,0.0006025,0.000155,0.00047,0.0002975,0.000325,0.0002,0.0004525,0.0005074999999999999,0.0004675,0.00026,0.00017,0.00028,0.0004875,0.00039999999999999996,0.000185,0.0003225,0.00013,0.00038750000000000004,0.0008449999999999999,0.000745,0.00066,0.00021500000000000002,0.000555,0.0005875
0.000745,0.0005775,0.000505,0.00021250000000000002,0.0008150000000000001,0.0006050000000000001,0.00039749999999999996,0.00014749999999999998,0.00030000000000000003,0.0001575,0.000245,7.25e-05,0.00023249999999999999,0.0002825,0.0003475,0.0004825,0.0003725,0.0005675,0.0004975,0.0004375,0.000265,0.0005250000000000001,0.00040500000000000003,0.0005825,0.0006050000000000001,0.00062,0.000335,0.00021250000000000002,0.00039999999999999996,0.0005775
0.0006975,0.0005425,0.0005325,0.00021500000000000002,0.0007925,0.0005775,0.00019,0.0002825,0.0002075,0.00018000000000000004,0.0002075,2.5e-05,0.00015749999999999998,0.0001775,0.00023500000000000002,0.0006325,0.0005525,0.0008075,0.000395,0.000415,0.00034,0.0007174999999999999,0.0007125,0.0006399999999999999,0.0004,0.00047,0.000105,0.0002075,0.0002625,0.0005375
0.0005975,0.00045,0.0004975,0.000355,0.0007875,0.00063,0.0001875,0.00047,0.00021750000000000003,0.0002875,0.00021,8.5e-05,0.00024249999999999999,0.00025,0.00018999999999999998,0.000695,0.000615,0.0008325000000000001,0.0002475,0.00036,0.0003025,0.00082,0.000825,0.000615,0.00048000000000000007,0.0004999999999999999,0.0002075,0.00030250000000000003,0.00026,0.0005149999999999999
0.000385,0.0002575,0.0003675,0.0004975,0.0007900000000000001,0.000685,0.000375,0.0005075,0.00020500000000000002,0.00028,0.0002225,0.000175,0.00024249999999999999,0.00024999999999999995,0.00011499999999999999,0.000605,0.0006175000000000001,0.00068,0.00015999999999999999,0.000285,0.00018,0.0007475,0.0008275,0.000595,0.0006175,0.0005925,0.00035999999999999997,0.000415,0.00037,0.0004875
0.0002225,0.0001175,0.000245,0.0006000000000000001,0.0008250000000000001,0.0007275000000000001,0.0005,0.00039749999999999996,0.00013000000000000002,0.0002875,0.0003075,0.000295,0.000165,0.00017749999999999998,4e-05,0.0006075,0.0007,0.0006375,0.0001175,0.0001675,0.0001175,0.0005824999999999999,0.00075,0.0005600000000000001,0.0006025,0.0005825,0.000455,0.00048249999999999996,0.0005325,0.0005650000000000001
0.0003675,0.0002825,0.00031999999999999997,0.00062,0.0008974999999999999,0.00072,0.0005325,0.0002,8.250000000000001e-05,0.000525,0.0005149999999999999,0.0004975,0.0001925,0.000195,7.000000000000001e-05,0.0007850000000000001,0.0008249999999999999,0.0008025,0.0001575,7e-05,0.00019,0.00046750000000000003,0.0005399999999999999,0.00048750000000000003,0.00048750000000000003,0.0004975,0.0005225000000000001,0.0005675,0.0006900000000000001,0.0007975
0.0007,0.0006050000000000001,0.0005875,0.0005824999999999999,0.0009875,0.00071,0.000585,2.75e-05,0.0001425,0.0007625,0.0006249999999999999,0.0006175,0.00038,0.00032250000000000003,0.0001875,0.0008025,0.0007899999999999999,0.0008075000000000001,0.00037500000000000006,0.0001875,0.00039250000000000005,0.0004075,0.00036750000000000004,0.00046,0.00039749999999999996,0.00043999999999999996,0.0004625,0.0006774999999999999,0.000765,0.00101
0.0008675,0.00073,0.00072,0.0005425,0.0009474999999999999,0.0006674999999999999,0.0006325,7e-05,0.00024000000000000003,0.000705,0.0004875,0.0005124999999999999,0.0007050000000000001,0.0005549999999999999,0.000395,0.0007025,0.000655,0.0006000000000000001,0.0007075,0.000495,0.0006850000000000001,0.0003375,0.0002725,0.00047,0.0003875,0.00039500000000000006,0.000405,0.00064,0.0006525,0.000965
0.0007624999999999999,0.0006075,0.0005874999999999999,0.0004625,0.0006774999999999999,0.0005524999999999999,0.0006025000000000001,0.00026250000000000004,0.00033,0.0005225,0.00030000000000000003,0.00034250000000000003,0.0009725000000000001,0.0007875,0.000665,0.000665,0.000565,0.00047999999999999996,0.0008900000000000001,0.0006825,0.0008525,0.0002825,0.000225,0.0005149999999999999,0.00047999999999999996,0.00036,0.0004925,0.0004075,0.00039749999999999996,0.00065
