protein_extract_50kgy_sample1,protein_extract_50kgy_sample2,protein_extract_50kgy_sample3,protein_extract_50kgy_sample4,protein_extract_50kgy_sample5,protein_extract_50kgy_sample6,protein_extract_50kgy_sample7,protein_extract_50kgy_sample8,protein_extract_50kgy_sample9
0.00022250000000000001,0.00022999999999999995,0.000495,0.00039499999999999995,-0.0006100000000000001,0.00011500000000000002,0.0002775,0.0002925,0.0003125
0.00016,0.000185,0.0003275,0.0004625,-0.00047499999999999994,0.0002275,0.00029,0.0003425,0.00040249999999999997
0.0001925,0.00025249999999999996,0.0002525,0.000475,-0.0004125,0.000365,0.00026250000000000004,0.000245,0.00039000000000000005
0.0002175,0.0002475,0.00029749999999999997,0.00038250000000000003,-0.0004174999999999999,0.0004125,0.00019999999999999998,7.999999999999999e-05,0.00024
0.00021999999999999998,0.00027749999999999997,0.0004125,0.000205,-0.0004975,0.000305,0.0001675,7.499999999999999e-06,0.00012
0.00023749999999999997,0.00042,0.0005075,7.500000000000001e-05,-0.00054,0.000185,0.00019250000000000002,0.00011,0.000145
0.00019,0.0005375,0.0004925,5e-05,-0.0005225000000000001,6.75e-05,0.0002625,0.0002275,0.00023500000000000002
9.250000000000003e-05,0.0005625000000000001,0.0003725,0.000105,-0.0004725,3.2500000000000004e-05,0.0003975,0.0002875,0.00036500000000000004
8.5e-05,0.0005849999999999999,0.000325,0.00030250000000000003,-0.00029250000000000006,0.000245,0.000545,0.00037999999999999997,0.0005175000000000001
0.00015999999999999999,0.0005775,0.00041,0.0004925,-0.00010249999999999997,0.000535,0.0006025,0.0004925,0.000535
0.0002425,0.00055,0.000525,0.00042,-9.499999999999995e-05,0.0006375,0.00059,0.0005675,0.00045
0.00029749999999999997,0.0005675000000000001,0.00054,0.00026500000000000004,-0.00011,0.0005925,0.00045999999999999996,0.0005475,0.0003975
0.0002125,0.0004675,0.000375,0.000295,-5.750000000000004e-05,0.00052,0.00024000000000000003,0.00048,0.00035
3.5000000000000004e-05,0.00024,0.00019750000000000003,0.00041,-3.9999999999999996e-05,0.0004575,0.0002,0.000505,0.00038
-2.5e-06,0.0001625,0.0002175,0.000495,-1.749999999999999e-05,0.00044,0.0004125,0.00065,0.0005775
9.5e-05,0.0002775,0.0003725,0.0005225,4.500000000000004e-05,0.000445,0.000695,0.0008424999999999999,0.0008874999999999999
0.0001775,0.0003075,0.0004,0.0004625,8.5e-05,0.0004275,0.0009075000000000001,0.001,0.0011275
0.000195,0.00024,0.00026,0.0004025,0.0001275,0.0004025,0.000895,0.00092,0.001085
0.00022250000000000001,0.0002675,0.0001925,0.00046499999999999997,0.0002325,0.000455,0.000655,0.000645,0.0008025
0.0002725,0.0003875,0.0003325,0.00059,0.00035499999999999996,0.00056,0.000455,0.0004825,0.00061
0.00028250000000000004,0.000585,0.000495,0.0006925,0.0003925,0.0005825,0.00044,0.0004775,0.000675
0.0001725,0.00073,0.000495,0.0007325,0.00039,0.0005325000000000001,0.0004675,0.00047999999999999996,0.0008175000000000001
0.0001325,0.000715,0.00047750000000000006,0.000655,0.0003975,0.0005125,0.00039,0.00042500000000000003,0.0007925
0.0003625,0.0006825,0.000595,0.0005449999999999999,0.0003525,0.0004725,0.00031,0.000345,0.0005974999999999999
0.000625,0.0007775,0.0006575000000000001,0.0005674999999999999,0.0002275,0.00037000000000000005,0.000355,0.0002825,0.00046499999999999997
0.000625,0.0007425000000000001,0.0005825,0.00054,0.00013250000000000002,0.0003525,0.000425,0.000395,0.0005025
0.0004575,0.0005625000000000001,0.000495,0.000355,0.00011750000000000001,0.00039499999999999995,0.0004625,0.0006375,0.00062
