wave_no,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30
3996.73391,0.00132,-0.00018,0.00065,0.00108,0.00031,0.00065,0.00106,0.00101,0.00054,0.0,0.00011,0.00052,-0.00019,0.00094,0.00034,0.00105,-0.00041,0.00097,0.00193,0.00137,0.00057,0.00025,0.00084,0.00093,0.0007,0.00122,6e-05,0.00033,0.00131
3994.67373,0.00115,-0.00017,0.00034,0.00208,0.00021,0.0005,0.00147,0.00012,0.00084,0.00033,0.0004,0.00051,0.0004,0.00132,2e-05,0.00063,-0.00032,0.00096,0.00169,0.0014,0.00039,0.00066,0.00116,0.00055,0.00107,0.00075,-0.00022,0.00037,0.00171
3992.61356,0.00098,0.0002,0.00051,0.00221,0.0,0.00052,0.00161,0.0,0.0008,0.00079,0.00039,0.00052,0.00104,0.00124,9e-05,0.00052,-0.00062,0.00072,0.00142,0.00112,0.00049,0.00106,0.0009,0.0001,0.00114,0.00059,0.00026,0.0003,0.00178
3990.55339,0.00097,0.00029,0.00103,0.00151,4e-05,0.00064,0.00168,0.00058,0.00027,0.00128,0.0,0.00066,0.00141,0.00092,0.00058,0.00073,-0.00093,0.00037,0.00139,0.00033,0.00051,0.00108,0.00027,-0.00014,0.00081,0.00057,0.00106,8e-05,0.00161
3988.49322,0.00117,0.00021,0.00106,0.00103,0.00031,0.00057,0.00171,0.00124,-5e-05,0.00144,6e-05,0.00079,0.0011,0.00091,0.00078,0.00066,-0.00101,3e-05,0.00154,0.0,0.00038,0.00056,5e-05,-6e-05,0.00051,0.00069,0.00127,6e-05,0.00132
3986.43305,0.0011,0.00044,0.00045,0.00092,0.00049,0.00048,0.00142,0.00163,0.00025,0.00119,0.00058,0.00063,0.00038,0.00085,0.00041,0.00038,-0.001,0.00018,0.00182,0.00052,0.00021,0.0,0.00035,0.00015,0.00062,0.00089,0.00119,0.00047,0.00067
3984.37287,0.00052,0.0005,2e-05,0.00084,0.0006,0.00052,0.00068,0.00161,0.00048,0.00105,0.00093,0.00023,-0.00017,0.0003,-9e-05,0.00031,-0.00108,0.00075,0.00198,0.00094,0.0002,5e-05,0.00045,0.00054,0.00095,0.00066,0.00124,0.00071,0.00016
3982.3127,0.0,0.00016,0.0,0.00093,0.00068,0.00039,0.0,0.00146,0.0003,0.00113,0.00086,-9e-05,-0.00022,0.0,-0.00026,0.00056,-0.001,0.00109,0.00184,0.00095,0.00042,0.00061,0.00019,0.00121,0.00097,4e-05,0.00107,0.00048,0.00035
3980.25253,3e-05,0.0,0.00013,0.00132,0.00061,0.0001,5e-05,0.00156,0.00027,0.00104,0.00056,-0.00019,0.00028,0.00051,3e-05,0.00087,-0.00061,0.00087,0.00176,0.00111,0.00051,0.00103,5e-05,0.00173,0.00064,0.0,0.00061,0.0002,0.00088
3978.19236,0.00046,0.00024,0.0004,0.00127,0.00059,0.0,0.00065,0.00177,0.00054,0.00094,0.00035,-6e-05,0.00108,0.00091,0.00041,0.00116,-0.00036,0.00034,0.00197,0.00154,0.00026,0.00104,2e-05,0.00175,0.00038,0.00074,0.00034,5e-05,0.00125
3976.13219,0.00071,0.0006,0.00078,0.00056,0.00061,0.00047,0.00117,0.00176,0.0008,0.00095,0.00051,0.00028,0.00173,0.00072,0.0004,0.00131,-0.00056,0.0,0.0021,0.00186,0.0,0.0009,2e-05,0.00152,0.00046,0.00134,0.00047,-2e-05,0.00127
3974.07201,0.00043,0.00085,0.00106,4e-05,0.00034,0.00139,0.00144,0.00141,0.00083,0.00091,0.00096,0.00045,0.00192,0.00064,0.00011,0.00102,-0.00067,0.00013,0.00196,0.00194,0.00012,0.0008,4e-05,0.00114,0.00066,0.0014,0.00069,0.0,0.00106
3972.01184,0.00023,0.00111,0.00096,0.0,0.0,0.00193,0.00147,0.00094,0.00081,0.00084,0.00132,0.00021,0.00159,0.00088,0.00018,0.00045,-0.00024,0.00032,0.00181,0.00198,0.00062,0.00075,-4e-05,0.00075,0.00058,0.00133,0.00074,5e-05,0.0009
3969.95167,0.00053,0.00138,0.00059,0.0001,0.00012,0.00167,0.00117,0.00062,0.00068,0.0008,0.00131,5e-05,0.00122,0.00092,0.00064,5e-05,0.00026,0.00023,0.00142,0.00192,0.00122,0.00072,1e-05,0.00069,0.00031,0.0014,0.00057,0.00021,0.00087
