wave_no,sample_1,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29
3996.73391,0.00113,0.00061,0.00068,0.00078,0.00079,0.0002,-0.00021,0.00095,-0.00069,0.00099,0.00044,0.00025,0.00013,0.00073,-3e-05,-7e-05,-0.00098,0.00033,0.00096,0.00057,0.00079,0.0003,0.00074,0.00131,0.00084,0.00067,-0.00011,0.00069
3994.67373,0.00095,0.00075,0.00025,0.00062,0.00061,-3e-05,-0.00036,0.00097,-0.00044,0.00143,0.0003,0.00015,0.00013,0.00053,2e-05,0.00013,-0.00076,0.00014,0.00108,0.00113,0.00067,0.00035,0.00078,0.00155,0.00055,0.0005,-0.0001,0.00097
3992.61356,0.00052,0.00104,0.0,0.0006,0.00054,0.00012,-0.00049,0.00106,-0.00022,0.00152,0.0001,0.00015,0.00018,0.00049,8e-05,0.00019,-0.0008,6e-05,0.00135,0.00133,0.00074,0.00052,0.0007,0.00144,0.00023,0.00033,0.00025,0.00092
3990.55339,0.00021,0.00112,7e-05,0.00056,0.00059,0.00057,-0.00061,0.00124,-0.00014,0.00111,0.0,0.00018,0.00026,0.00053,-0.0001,0.00024,-0.00097,0.00011,0.00159,0.00118,0.00098,0.00067,0.00067,0.00103,0.00033,9e-05,0.0004,0.00054
3988.49322,0.00027,0.00082,0.00038,0.00054,0.00065,0.00091,-0.00046,0.00131,-0.00025,0.00081,8e-05,8e-05,0.00027,0.00077,-0.00024,0.00027,-0.00085,0.00016,0.00143,0.0009,0.00102,0.00044,0.0005,0.00041,0.00077,0.0,7e-05,0.00032
3986.43305,0.00027,0.00043,0.00078,0.00083,0.00067,0.00107,8e-05,0.00092,-0.00037,0.00089,0.00034,-8e-05,0.00015,0.00099,-0.00013,0.0002,-0.00059,0.00027,0.00075,0.00063,0.00069,0.00013,0.0001,0.0,0.00113,0.00011,-0.00033,0.00056
3984.37287,5e-05,0.0003,0.00118,0.00121,0.00058,0.00104,0.00034,0.00049,-0.00023,0.00099,0.00064,-8e-05,1e-05,0.00079,-0.00013,0.00022,-0.00051,0.00035,8e-05,0.00023,0.0003,0.00019,-0.0003,0.00027,0.00125,0.00017,-0.00037,0.00084
3982.3127,0.0,0.00043,0.00157,0.00125,0.00027,0.00068,7e-05,0.00065,8e-05,0.00098,0.00072,5e-05,0.0,0.0004,-0.00019,0.00044,-0.00066,0.00026,0.0,0.0,0.00026,0.00048,-0.00031,0.00086,0.00116,0.0002,-0.00017,0.00076
3980.25253,0.00031,0.00062,0.00182,0.00101,2e-05,0.0004,-0.00025,0.00106,0.00025,0.00105,0.0006,0.0002,0.00027,0.00029,8e-05,0.00063,-0.00083,3e-05,0.00058,0.00017,0.00064,0.00076,5e-05,0.00093,0.00112,0.00039,-3e-05,0.00057
3978.19236,0.00063,0.00076,0.00175,0.00084,-2e-05,0.0004,-0.00041,0.00119,0.00021,0.0008,0.00052,0.00029,0.00075,0.00049,0.00044,0.00064,-0.00083,-0.00012,0.00139,0.00044,0.00103,0.0009,0.00037,0.0005,0.00135,0.00067,-0.00013,0.00042
3976.13219,0.00052,0.00092,0.00141,0.00103,0.0,0.00041,-0.00036,0.00123,0.00014,0.00022,0.0005,0.0004,0.00095,0.00069,0.00062,0.00067,-0.00059,-0.00013,0.00199,0.00062,0.00097,0.00088,0.00026,0.0004,0.00151,0.00085,-0.00025,0.0002
