wave_no,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30
599.51009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601.57026,0.00202,0.00415,0.00021,0.00351,0.00404,-0.00163,0.00234,-0.00091,-0.0001,-0.00273,0.00606,-0.00298,-0.00218,0.00025,0.00213,-0.00147,0.00042,0.00359,-0.00186,0.00215,-0.00385,-0.00337,-0.00488,0.00453,-0.00136,0.00641,-0.00098,0.00266,0.00333,0.00102
603.63043,0.00328,0.00505,0.00044,0.00312,0.00452,-0.00011,0.00613,-0.00305,-0.00484,-0.00689,0.00849,-0.00081,-0.00352,0.00291,0.00495,0.00148,-0.00158,0.00401,0.00036,0.00219,-0.00211,0.00032,-0.00664,0.00752,-0.00399,0.01356,0.00177,0.00147,0.01056,0.00033
605.6906,0.00154,0.00467,0.00117,-0.00018,0.00133,0.00109,0.00752,-0.00283,-0.00633,-0.00967,0.00731,0.00367,-0.00247,0.00522,0.00541,0.00594,-0.00316,0.00012,0.00336,0.00083,0.00046,0.00432,-0.00493,0.00979,-0.00666,0.01379,0.00483,-0.0009,0.01618,0.00147
607.75077,-0.00085,0.00382,0.00301,-0.00014,-0.00014,-0.00058,0.00899,-0.00032,-0.00468,-0.01096,0.0038,0.0058,-0.00046,0.0045,0.00195,0.00609,-0.00332,-0.00192,0.00274,0.00022,0.00098,0.00597,-0.00318,0.00949,-0.00673,0.00951,0.00407,-0.00175,0.01374,0.00418
609.81095,0.00126,0.00188,0.00454,0.00157,0.00174,-0.00031,0.01168,0.00288,-0.00181,-0.00794,0.0011,0.00549,0.00097,0.00269,0.00026,0.00419,-0.00413,-0.00022,-0.00144,7e-05,0.00188,0.00621,-0.00437,0.0056,-0.00343,0.00831,0.00207,-0.00227,0.00701,0.00469
611.87112,0.00618,0.0023,0.00416,0.0024,0.00231,0.00256,0.01125,0.00253,-0.00016,-0.00143,0.00168,0.00488,0.00255,0.00243,0.0033,0.00313,-0.00697,0.00132,-0.00362,0.00089,0.0033,0.00346,-0.00442,0.0016,-0.00023,0.01138,0.0033,-0.00431,0.00201,0.00376
613.93129,0.00859,0.00455,0.004,0.00348,0.00087,0.00385,0.00788,-0.00296,-0.00176,0.00085,0.00469,0.00313,0.00311,0.00467,0.00711,0.00088,-0.00936,0.00056,-0.00094,0.00359,0.00561,0.0024,-0.00162,0.00217,5e-05,0.01235,0.00598,-0.00519,0.00097,0.00489
615.99146,0.00743,0.00529,0.00427,0.0031,1e-05,0.00252,0.0058,-0.00685,-0.00447,-0.00078,0.00745,0.00061,0.00053,0.0087,0.00705,-0.00149,-0.00787,0.00087,0.00299,0.00575,0.0077,0.00311,-0.00059,0.00474,0.00144,0.00872,0.00562,-0.00305,0.00353,0.0062
618.05164,0.00461,0.00739,0.00166,-0.00036,-0.00018,-0.00098,0.00507,-0.00539,-0.00389,-0.00285,0.00747,3e-05,-0.00089,0.0108,0.00283,-0.00033,-0.00512,0.00204,0.00493,0.00502,0.00576,0.00151,-0.00264,0.00321,0.00406,0.0051,0.00175,-0.0007,0.00637,0.00485
620.11181,0.0013,0.00978,-0.00229,-0.00192,0.00209,-0.00248,0.00556,-0.00078,-0.00125,-0.00358,0.00447,0.00394,0.00205,0.00896,0.0,0.00401,-0.005,-9e-05,0.00454,0.00258,0.00037,0.00316,-0.0055,0.00034,0.00347,0.00388,-0.00229,-0.0002,0.00683,0.00375
622.17198,0.0,0.00901,-0.00377,-0.00131,0.00627,-0.00084,0.00825,0.0038,-0.00211,0.00044,0.00187,0.00853,0.00442,0.00545,0.00183,0.00685,-0.00575,-0.00203,0.00246,0.00077,-0.00243,0.00609,-0.00518,-0.00099,0.00234,0.00378,-0.00338,-0.00061,0.00671,0.00413
624.23215,0.00061,0.00733,-0.00222,-0.00142,0.00827,0.00047,0.01012,0.00458,-0.00542,0.00651,0.0038,0.00914,0.00246,0.00295,0.00711,0.00575,-0.00486,0.00033,0.00092,0.00116,-0.00047,0.00462,-0.00093,-0.00198,0.00156,0.00317,-0.00076,-0.00207,0.00588,0.00507
626.29232,0.00188,0.00507,-0.00057,-0.00094,0.00773,0.0007,0.00845,0.00208,-0.00462,0.00719,0.00826,0.00707,-0.00068,0.0029,0.01025,0.00391,-0.00125,0.00372,0.00197,0.00393,0.00138,0.00328,0.00234,0.00055,-0.00011,0.0023,0.00393,-0.0028,0.00445,0.00656
628.3525,0.00378,0.00151,-0.00152,0.0,0.0078,0.00088,0.00486,0.00037,0.00085,0.00396,0.00973,0.00506,-0.00116,0.00255,0.01082,0.00406,0.00219,0.00518,0.003,0.00628,0.0014,0.00357,0.00209,0.00688,0.0,0.00212,0.00742,0.00133,0.005,0.00661
