length_um,width_um
26.935,25.858
33.4,29.449
24.541,22.985
29.928,28.731
30.407,30.287
29.877,28.548
29.423,26.614
26.415,25.958
30.204,29.836
32.696,32.508
31.628,31.194
33.089,32.36
34.861,31.915
23.479,22.511
32.387,31.593
30.555,28.979
25.411,24.566
34.212,33.203
33.101,32.752
29.884,29.354
33.303,32.475
34.002,32.588
29.179,28.512
31.847,29.402
25.899,25.566
27.554,26.92
29.277,28.086
31.328,29.309
32.198,29.349
28.248,26.019
26.389,26.098
29.891,28.436
32.401,30.666
30.375,29.982
26.803,25.788
32.045,31.746
29.907,29.605
33.711,32.036
31.272,31.019
30.463,30.22
30.07,29.662
30.06,29.55
31.17,29.553
30.336,29.077
29.891,28.473
32.444,31.376
31.129,30.908
28.713,28.204
26.697,25.858
28.784,28.598
31.615,30.248
31.054,28.62
30.063,29.989
31.246,31.006
31.543,30.386
25.732,25.035
33.348,30.655
34.334,33.343
28.536,28.394
33.149,31.995
28.66,28.408
27.068,26.431
33.21,32.134
31.536,30.014
33.811,33.5
33.294,31.029
30.911,30.334
25.772,25.407
34.286,33.995
28.086,27.504
30.87,27.851
29.509,28.436
31.104,30.065
31.108,28.893
32.114,29.164
28.621,28.539
31.241,30.56
30.438,30.349
28.582,25.738
31.02,30.296
26.511,24.596
27.762,26.55
30.426,30.408
31.204,27.373
34.128,33.405
29.378,28.536
31.965,31.029
34.306,32.539
30.423,28.29
27.866,27.786
28.751,26.597
30.057,29.226
29.127,28.261
30.982,30.4
26.974,25.912
26.665,25.125
24.117,22.856
27.959,27.411
29.2,26.809
30.939,30.644
29.466,26.75
29.66,29.046
31.59,30.049
29.936,29.83
26.295,26.131
30.029,29.322
29.585,29.406
30.568,27.727
27.968,25.327
30.143,29.339
30.738,29.851
29.045,27.996
27.529,25.766
34.411,33.609
31.725,30.946
29.905,29.601
31.112,30
31.989,31.823
34.013,31.388
31.439,30.1
