protein_extract_scan16_mdi,protein_extract_scan24_mdi,protein_extract_scan32_mdi,protein_extract_scan48_mdi,protein_extract_scan64_mdi,protein_extract_scan72_mdi
-0.011879767756909132,-0.011930992361158133,-0.011937924195080996,-0.01219833455979824,-0.012065762653946877,-0.012254620436578989
-0.011853352189064026,-0.012228722684085369,-0.01231160806491971,-0.012240922544151545,-0.012018499430269003,-0.012348155491054058
-0.011863988358527422,-0.011929893400520086,-0.012135210912674665,-0.011986859608441591,-0.012021321803331375,-0.012162065133452415
-0.013355981558561325,-0.012114485260099173,-0.012042086571455002,-0.011841186787933111,-0.011851298157125711,-0.012373194098472595
-0.012411247007548809,-0.012569837272167206,-0.012030609883368015,-0.012180612422525883,-0.011996131390333176,-0.012132831383496523
-0.012436975259333849,-0.011950572021305561,-0.012167995795607567,-0.012100855819880962,-0.011921342462301254,-0.012202510610222816
-0.012537069153040648,-0.01194507209584117,-0.012294008862227201,-0.011893544346094131,-0.012240072712302208,-0.01190475421026349
-0.012035038322210312,-0.012011456303298473,-0.012474944349378347,-0.012131872586905956,-0.012136466801166534,-0.012120371218770742
-0.01199221471324563,-0.012547301594167948,-0.012058604042977095,-0.012019938323646784,-0.01210020249709487,-0.012106181588023901
-0.011996730230748653,-0.011961746029555798,-0.011969765182584524,-0.012339444365352392,-0.012320441659539938,-0.012072397861629725
-0.01202006870880723,-0.011963703203946352,-0.01230372954159975,-0.012227343861013651,-0.011894857045263052,-0.01187428878620267
-0.011997317429631948,-0.011846402660012245,-0.012252030428498983,-0.011933078523725271,-0.012086695060133934,-0.012094675097614527
-0.012278060894459486,-0.011856390628963709,-0.012172080110758543,-0.012794072274118662,-0.012271587271243334,-0.012359919026494026
-0.011856324505060911,-0.011865750420838594,-0.01244494877755642,-0.012644445523619652,-0.012115499936044216,-0.012096933089196682
-0.012245303951203823,-0.011860805563628674,-0.012533281929790974,-0.0123658855445683,-0.011928434949368238,-0.012200350407510996
-0.011858553625643253,-0.012035814113914967,-0.011982178315520287,-0.01214025728404522,-0.012502563185989857,-0.012216163333505392
-0.011901778634637594,-0.01246997807174921,-0.012088019400835037,-0.012524564284831285,-0.011881656479090452,-0.012014603707939386
-0.012072460725903511,-0.012493597343564034,-0.011982022318989038,-0.012460573576390743,-0.011873506009578705,-0.011969126760959625
-0.012482344638556242,-0.012489041779190302,-0.01234071422368288,-0.012115301098674536,-0.012321675196290016,-0.011866489890962839
-0.012218340765684843,-0.012545250821858644,-0.012172316666692495,-0.012038867454975843,-0.012129603419452906,-0.011918843258172274
-0.0122866271995008,-0.012574100866913795,-0.012577574700117111,-0.011921094730496407,-0.01229783333837986,-0.011917390394955873
-0.012168978340923786,-0.012576764449477196,-0.012408646289259195,-0.011941231787204742,-0.012577349785715342,-0.01193615049123764
-0.011872706469148397,-0.012355152983218431,-0.012290787417441607,-0.01198497461155057,-0.012151769362390041,-0.01193717634305358
-0.012366796378046274,-0.012711211573332548,-0.01235226122662425,-0.011879976838827133,-0.01235185470432043,-0.012048467993736267
-0.011866464745253325,-0.011853344272822142,-0.011951728723943233,-0.011980477720499039,-0.01199778588488698,-0.012214927934110165
-0.01188195962458849,-0.012474910821765661,-0.012319729663431644,-0.012034428305923939,-0.012061243876814842,-0.012263192795217037
-0.01186617836356163,-0.011780183296650648,-0.012049341574311256,-0.011850224807858467,-0.011903515085577965,-0.012320860754698515
-0.012401694897562265,-0.01270873611792922,-0.012142338789999485,-0.011902313213795424,-0.012332582846283913,-0.01231711870059371
-0.01194289280101657,-0.011896477080881596,-0.012064920272678137,-0.012019187677651644,-0.011915749404579401,-0.012094584759324789
-0.011879056226462126,-0.012117608916014433,-0.012435785960406065,-0.012029189616441727,-0.0121726063080132,-0.011949859093874693
