protein_extract_scan64_sample1,protein_extract_scan64_sample2,protein_extract_scan64_sample3,protein_extract_scan64_sample4,protein_extract_scan64_sample5,protein_extract_scan64_sample6,protein_extract_scan64_sample7,protein_extract_scan64_sample8,protein_extract_scan64_sample9,protein_extract_scan64_sample10,protein_extract_scan64_sample11,protein_extract_scan64_sample12,protein_extract_scan64_sample13,protein_extract_scan64_sample14,protein_extract_scan64_sample15,protein_extract_scan64_sample16,protein_extract_scan64_sample17,protein_extract_scan64_sample18,protein_extract_scan64_sample19,protein_extract_scan64_sample20,protein_extract_scan64_sample21,protein_extract_scan64_sample22,protein_extract_scan64_sample23,protein_extract_scan64_sample24,protein_extract_scan64_sample25,protein_extract_scan64_sample26,protein_extract_scan64_sample27,protein_extract_scan64_sample28,protein_extract_scan64_sample29,protein_extract_scan64_sample30
0.00021500000000000002,0.00014250000000000002,0.0001625,3.0000000000000004e-05,0.0001575,4.5e-05,0.000365,0.00026250000000000004,0.00023500000000000002,0.000455,4.25e-05,-0.0002125,0.0004125,0.0002575,0.0001275,-0.000645,6.25e-05,4.25e-05,0.00045,0.00027499999999999996,0.0004375,0.0007275,0.00028500000000000004,0.00049,0.00014,-0.000205,-6.249999999999999e-05,0.0004875,9.499999999999999e-05,0.00033
8.25e-05,0.00015249999999999997,5.75e-05,0.0001125,0.0001425,0.0001275,0.0004325,0.00033,0.000375,0.0003525,-2.4999999999999998e-06,-0.00023749999999999997,0.0004775,0.0003275,0.00026500000000000004,-0.0005399999999999999,0.000125,6.750000000000001e-05,0.00035250000000000006,0.000295,0.0003675,0.0007525,0.00035250000000000006,0.00059,0.0002925,8.75e-05,5.9999999999999995e-05,0.0004925,0.00023249999999999999,0.00033
3.0000000000000004e-05,0.0002075,2.249999999999999e-05,0.00015000000000000001,8.749999999999999e-05,0.00017999999999999998,0.00041000000000000005,0.0003725,0.00039,0.0003075,-8.25e-05,-0.00014500000000000003,0.0005974999999999999,0.0005124999999999999,0.00047500000000000005,-0.0003599999999999999,0.000265,0.00021750000000000003,0.000355,0.00031749999999999997,0.0003375,0.0006275,0.0003825,0.0005475,0.00043749999999999995,0.000285,0.00019,0.0005275,0.0004075,0.00034750000000000004
0.0001225,0.00027249999999999996,2.4999999999999998e-05,0.00018500000000000002,0.00011500000000000002,0.00024999999999999995,0.0002875,0.00035,0.0002275,0.0003525,-5.499999999999999e-05,5.749999999999999e-05,0.0006949999999999999,0.000695,0.000635,-0.0003149999999999999,0.0003325,0.00025249999999999996,0.00044500000000000003,0.000365,0.0003975,0.00041500000000000006,0.0003125,0.0003775,0.0005200000000000001,0.00027,0.000285,0.0006050000000000001,0.00046999999999999993,0.00038250000000000003
0.0001575,0.00025,5.500000000000001e-05,0.00027749999999999997,0.0002925,0.0004,0.00017250000000000002,0.000325,0.00011499999999999999,0.000405,6.5e-05,0.0001775,0.00061,0.000705,0.00058,-0.00038500000000000003,0.0002625,0.00014,0.0004325,0.000315,0.00042500000000000003,0.00025,0.0001675,0.0002175,0.0005525,0.00017,0.00033749999999999996,0.0006525,0.000415,0.00039500000000000006
0.0001475,0.000155,0.00013,0.0003175,0.0004325,0.000455,0.00023,0.00039000000000000005,0.00022250000000000001,0.00039,0.00013,7.500000000000001e-05,0.00044750000000000004,0.0005725,0.00044249999999999997,-0.0004149999999999999,0.0002175,0.00011999999999999999,0.0002525,0.00017,0.00032250000000000003,0.0002975,0.0001675,0.0002575,0.0005225,0.00010750000000000001,0.0003525,0.0005600000000000001,0.0002575,0.00034
0.00016,8.25e-05,0.000135,0.00020749999999999995,0.00035749999999999996,0.00034,0.00042749999999999993,0.0004975,0.0004175,0.00028250000000000004,2.2500000000000005e-05,-0.00015250000000000002,0.0004425,0.000505,0.00048249999999999996,-0.00035999999999999997,0.0002625,0.00021,0.0001475,0.00014,0.00023500000000000002,0.0004775,0.00035,0.0004875,0.0004525,0.00010000000000000002,0.00031,0.0003575,7.500000000000001e-05,0.00023750000000000003
0.000115,4.75e-05,7.500000000000006e-06,8.750000000000001e-05,0.00019,0.00024,0.000515,0.00046999999999999993,0.0004425,0.000245,-9.5e-05,-0.00022,0.00051,0.000535,0.0005874999999999999,-0.0002575,0.00028,0.00021750000000000003,0.000255,0.000245,0.00028500000000000004,0.0006150000000000001,0.0005425,0.0006999999999999999,0.000315,7.750000000000001e-05,0.0001875,0.0001825,1e-05,0.0001425
0.0001,0.00011,-2.75e-05,0.00012749999999999998,0.00015000000000000001,0.00032250000000000003,0.00033000000000000005,0.0002775,0.00025,0.00046750000000000003,2.749999999999999e-05,-2.7500000000000018e-05,0.0004075,0.0004475,0.000465,-0.000165,0.00026500000000000004,0.0002025,0.00040500000000000003,0.00032,0.0003775,0.00067,0.0006075000000000001,0.0007325000000000001,0.0001325,2.4999999999999998e-06,5.2499999999999995e-05,0.000145,9.5e-05,9.75e-05
0.0003675,0.0003075,0.000215,0.000355,0.00027,0.000535,8.75e-05,7.5e-05,1.2500000000000006e-05,0.0006450000000000001,0.0002675,0.00011749999999999998,0.00027,0.00032,0.00035999999999999997,-0.00021000000000000004,0.000285,0.0001625,0.00037499999999999995,0.0002725,0.00036250000000000003,0.0006025000000000001,0.0005200000000000001,0.0006299999999999999,0.000115,1.5000000000000002e-05,9e-05,0.0002,0.00014,9.5e-05
0.0007250000000000001,0.0005175,0.000525,0.000565,0.00038250000000000003,0.0006675,5.25e-05,2.75e-05,-0.00010499999999999999,0.0005024999999999999,0.00031999999999999997,1.9999999999999998e-05,0.0003925,0.00041,0.00053,-0.00025749999999999997,0.000355,0.0001325,0.0003075,0.00024,0.00031999999999999997,0.0004025,0.000335,0.00045,0.00028000000000000003,0.00011999999999999999,0.00028500000000000004,0.0002675,0.0001125,7.500000000000001e-05
0.0007325,0.0005974999999999999,0.000625,0.0005,0.00034500000000000004,0.0005875,0.00019250000000000002,0.00017250000000000002,-2.499999999999999e-06,0.00030250000000000003,0.00019749999999999998,-9.999999999999999e-05,0.0006075,0.00061,0.000675,-0.00012999999999999996,0.00041250000000000005,0.00020500000000000002,0.00042500000000000003,0.0003425,0.00045249999999999994,0.0001475,9.250000000000001e-05,0.0001875,0.000395,0.00015999999999999999,0.0004075,0.00031499999999999996,0.00014000000000000001,8.25e-05
0.00047500000000000005,0.0005275,0.0005375,0.00023999999999999998,0.0001925,0.00036750000000000004,0.0003425,0.0003875,0.0002475,0.000295,0.00011999999999999999,-9.749999999999998e-05,0.0006825000000000001,0.0007125,0.000655,4.250000000000003e-05,0.0004225,0.000285,0.00059,0.000475,0.0006875000000000001,4.25e-05,-3e-05,1.25e-05,0.0004075,0.0001225,0.0004075,0.00038750000000000004,0.00025,0.000235
0.0003325,0.00047499999999999994,0.000475,0.0001125,8.25e-05,0.000205,0.0004,0.0005074999999999999,0.0004375,0.0003725,0.000145,-1.4999999999999985e-05,0.0006475,0.0007275000000000001,0.0006174999999999999,0.00015,0.0004125,0.00030250000000000003,0.0006625,0.00052,0.00083,0.000155,6.500000000000001e-05,8.25e-05,0.0004075,0.00013000000000000002,0.0004075,0.00052,0.00037999999999999997,0.0004325
0.0002925,0.0005075,0.0004875,0.00021,0.00018250000000000002,0.000285,0.0004075,0.000525,0.00048000000000000007,0.00040249999999999997,0.0002275,9.25e-05,0.0004875,0.000585,0.000505,0.00025,0.000415,0.00035000000000000005,0.0007375,0.0005025,0.0008425,0.00032750000000000005,0.0001925,0.0002925,0.0004525,0.00023999999999999998,0.00045,0.0006150000000000001,0.0005,0.0004925000000000001
0.00021749999999999997,0.00046249999999999997,0.0004575,0.00041,0.00044750000000000004,0.000515,0.000435,0.0005375,0.00047999999999999996,0.00041000000000000005,0.00030500000000000004,0.00015749999999999995,0.00019250000000000002,0.0002625,0.0002775,0.000345,0.00043,0.00045,0.0008275,0.000495,0.0007949999999999999,0.00048750000000000003,0.0002575,0.000495,0.0005250000000000001,0.0004,0.0005025,0.0006125,0.000605,0.00049
0.00024000000000000003,0.000325,0.0003575,0.0005475,0.0006325,0.0006425000000000001,0.0005250000000000001,0.0005625,0.0005124999999999999,0.0004625,0.000345,0.00020749999999999998,3.5e-05,6.5e-05,0.0002325,0.00031499999999999996,0.00038250000000000003,0.00048249999999999996,0.0007825,0.0004525,0.0007,0.0006125,0.00035,0.000615,0.0005025,0.0005,0.0005025,0.0005375,0.000605,0.000485
0.000335,0.000235,0.00023750000000000003,0.00051,0.0005725,0.0005625000000000001,0.0006475,0.0006175,0.0005375,0.00046750000000000003,0.00028,0.000255,0.000215,0.00023500000000000002,0.0005200000000000001,0.00025,0.000305,0.0004975,0.000595,0.0003175,0.0005225000000000001,0.0006525,0.00042500000000000003,0.0006425,0.0002825,0.00040249999999999997,0.0003275,0.00047500000000000005,0.0005075,0.00040249999999999997
0.0004175,0.0002575,0.0001925,0.00035250000000000006,0.00037,0.00038250000000000003,0.0006375,0.0006225,0.00046,0.00031999999999999997,0.00010750000000000001,0.00019499999999999997,0.0004675,0.0005124999999999999,0.000825,0.0002775,0.00030750000000000005,0.00057,0.00039999999999999996,0.0001825,0.00033,0.000645,0.0004525,0.0006324999999999999,4.2499999999999996e-05,0.000175,8.5e-05,0.0004475,0.000415,0.0002775
0.0006174999999999999,0.00039250000000000005,0.00031,0.00022499999999999997,0.000255,0.00019750000000000003,0.000495,0.000535,0.0002975,0.00016,7.499999999999994e-06,7.999999999999999e-05,0.00053,0.000575,0.0008874999999999999,0.00031999999999999997,0.000355,0.0005925,0.0002875,0.00017,0.00027,0.0006249999999999999,0.00048249999999999996,0.0006475000000000001,4.75e-05,7.5e-05,7e-05,0.0004525,0.000365,0.00026250000000000004
