wave_no,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15
3996.73391,0.0,0.0,1e-05,0.00019,0.00027,9e-05,0.00024,0.0,0.00017,6e-05,0.0,0.00059,0.00045,0.0,0.0002
3994.67373,0.00028,0.00028,0.00017,0.00039,0.00043,0.00028,0.00035,0.0003,0.00044,0.00021,0.0003,0.00075,0.00059,0.00037,0.0004
3992.61356,0.00055,0.00045,0.00027,0.00051,0.00051,0.00047,0.0004,0.00057,0.00064,0.00032,0.00058,0.00089,0.00067,0.00066,0.00055
3990.55339,0.00076,0.00046,0.00028,0.00051,0.00047,0.00061,0.00038,0.00078,0.00073,0.00035,0.00078,0.00097,0.00065,0.00083,0.00059
3988.49322,0.00085,0.00034,0.00024,0.0004,0.00034,0.00065,0.00032,0.00085,0.00069,0.00031,0.00087,0.00096,0.0005,0.00089,0.00055
3986.43305,0.00082,0.0002,0.0002,0.00024,0.00019,0.00053,0.00024,0.00075,0.00054,0.0002,0.00082,0.00084,0.00027,0.0008,0.00046
3984.37287,0.00073,0.0001,0.00017,9e-05,8e-05,0.00029,0.00014,0.00053,0.00033,7e-05,0.00066,0.00064,6e-05,0.00056,0.00038
3982.3127,0.00063,0.00012,0.00016,0.0,2e-05,8e-05,4e-05,0.00032,0.00013,0.0,0.00048,0.00044,0.0,0.00027,0.00029
3980.25253,0.00051,0.00023,0.00016,0.0,0.0,0.0,0.0,0.00021,0.0,3e-05,0.00036,0.00025,9e-05,6e-05,0.00016
3978.19236,0.00038,0.00038,0.00015,0.0001,2e-05,3e-05,3e-05,0.00019,0.0,0.00012,0.00034,9e-05,0.00026,3e-05,3e-05
3976.13219,0.0003,0.0005,0.00014,0.00025,9e-05,0.00012,0.00016,0.00023,8e-05,0.00018,0.00041,0.0,0.00041,0.00015,0.0
3974.07201,0.00032,0.00057,0.00014,0.00042,0.00021,0.00026,0.00037,0.00033,0.00019,0.00018,0.00057,3e-05,0.00051,0.00036,0.00012
3972.01184,0.00046,0.00057,0.00014,0.00056,0.00034,0.00039,0.00061,0.00045,0.00027,0.00016,0.00075,0.00018,0.00054,0.00059,0.00032
3969.95167,0.00063,0.00046,0.0001,0.00067,0.0004,0.00047,0.00075,0.00053,0.0003,0.00017,0.00088,0.00039,0.00051,0.00075,0.00048
3967.8915,0.00079,0.00031,2e-05,0.0007,0.00036,0.0005,0.00077,0.00054,0.00027,0.00023,0.0009,0.00061,0.00045,0.00077,0.00054
3965.83133,0.00089,0.00018,0.0,0.00068,0.00026,0.0005,0.0007,0.00052,0.00026,0.00029,0.00081,0.00076,0.00041,0.0007,0.00051
3963.77115,0.00094,0.00016,8e-05,0.00064,0.00021,0.0005,0.00062,0.00053,0.00033,0.00038,0.00066,0.00083,0.00042,0.00059,0.00046
3961.71098,0.00094,0.00024,0.00022,0.00059,0.00027,0.00053,0.00058,0.00058,0.00049,0.00047,0.00052,0.00084,0.0005,0.00049,0.00044
3959.65081,0.00088,0.00041,0.00032,0.00052,0.00037,0.00055,0.00055,0.00062,0.00068,0.00052,0.00048,0.00085,0.00059,0.0004,0.00046
3957.59064,0.00082,0.00063,0.00041,0.00043,0.00044,0.00054,0.0005,0.00065,0.00082,0.00055,0.00058,0.00089,0.00067,0.00034,0.00051
3955.53046,0.00077,0.00082,0.0005,0.00034,0.00047,0.00052,0.0004,0.0007,0.00093,0.00057,0.00075,0.00098,0.0007,0.00032,0.00059
3953.47029,0.00075,0.0009,0.00059,0.00029,0.00047,0.00048,0.0003,0.00072,0.00101,0.00062,0.00088,0.00105,0.00069,0.00036,0.00071
3951.41012,0.00078,0.00082,0.00065,0.00034,0.00048,0.00047,0.00028,0.0007,0.00106,0.00067,0.00092,0.00106,0.00069,0.00046,0.00084
3949.34995,0.00089,0.00068,0.00066,0.00049,0.00055,0.00054,0.00038,0.00063,0.00104,0.0007,0.00092,0.00102,0.00075,0.00059,0.001
3947.28978,0.001,0.00056,0.0006,0.00061,0.00062,0.00067,0.00048,0.00058,0.00091,0.00068,0.00095,0.00097,0.00083,0.00067,0.00111
3945.2296,0.00102,0.00049,0.00048,0.00058,0.0006,0.00072,0.00048,0.00057,0.00071,0.00057,0.00096,0.00089,0.00084,0.00062,0.00109
