wave_no,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15
3996.73391,0.00044,0.00057,0.0004,0.0005,0.00031,0.00091,0.00107,0.0004,0.00031,4e-05,0.00066,0.00036,0.00031,7e-05,0.00028
3994.67373,0.00055,0.00067,0.00046,0.00056,0.00037,0.00092,0.00101,0.0005,0.00057,5e-05,0.00062,0.00055,0.00021,6e-05,0.00019
3992.61356,0.00062,0.00068,0.00048,0.00054,0.00038,0.00088,0.00099,0.00061,0.00074,5e-05,0.00057,0.00069,0.00012,8e-05,0.0001
3990.55339,0.00058,0.00058,0.00046,0.00038,0.0003,0.00081,0.001,0.00071,0.00073,1e-05,0.00052,0.00075,6e-05,0.00015,4e-05
3988.49322,0.00046,0.00044,0.00046,0.00015,0.00016,0.00071,0.00102,0.00081,0.00056,0.0,0.00049,0.00077,1e-05,0.0003,0.0
3986.43305,0.00033,0.00038,0.0005,0.0,4e-05,0.00062,0.00102,0.00087,0.00034,6e-05,0.00042,0.0008,0.0,0.00048,1e-05
3984.37287,0.00025,0.00039,0.00053,1e-05,0.0,0.00053,0.00101,0.00082,0.00017,0.00018,0.00029,0.00078,4e-05,0.00059,6e-05
3982.3127,0.0002,0.00041,0.00046,0.00013,8e-05,0.00041,0.00106,0.00063,9e-05,0.00032,0.00014,0.00065,9e-05,0.00053,0.00011
3980.25253,0.00015,0.00041,0.00029,0.00026,0.00026,0.00024,0.00115,0.0004,6e-05,0.00041,5e-05,0.00042,0.00012,0.00032,0.00013
3978.19236,9e-05,0.00035,0.00013,0.00032,0.00047,8e-05,0.00123,0.00025,2e-05,0.00039,5e-05,0.00016,0.00015,0.00013,9e-05
3976.13219,2e-05,0.00026,8e-05,0.00034,0.0006,0.0,0.00123,0.00026,0.0,0.00029,6e-05,0.0,0.00023,0.0001,7e-05
3974.07201,0.0,0.00021,0.00014,0.00034,0.00063,4e-05,0.00119,0.00039,5e-05,0.00016,0.0001,2e-05,0.00038,0.00021,0.00012
3972.01184,8e-05,0.0003,0.00026,0.00038,0.00059,0.00012,0.00118,0.00053,0.00026,5e-05,0.00023,0.00024,0.00052,0.00034,0.0003
3969.95167,0.00028,0.00051,0.00038,0.00049,0.00057,0.00021,0.00121,0.00059,0.00059,7e-05,0.00048,0.00057,0.0006,0.00044,0.00055
3967.8915,0.00052,0.00071,0.00044,0.00066,0.00062,0.00029,0.00121,0.00058,0.0009,0.00022,0.0007,0.00082,0.00061,0.0005,0.00082
3965.83133,0.00066,0.00077,0.00038,0.00079,0.00067,0.00035,0.0011,0.00052,0.00099,0.00044,0.0008,0.00084,0.00061,0.00048,0.00102
3963.77115,0.00062,0.00061,0.00023,0.0008,0.00061,0.00036,0.00086,0.0004,0.00084,0.00057,0.00072,0.00066,0.00059,0.00035,0.00107
